Column A,Column B
0.41038606,0.9565063649222065
0.2427991,0.9685289957567186
0.19777767,0.9335219236209336
0.17089894,0.9685289957567186
0.15397896,0.948019801980198
0.13937521,0.9791371994342292
0.13275251,0.9826732673267327
0.122644976,0.9787835926449788
0.118927754,0.9678217821782178
0.110117726,0.9847949080622348
0.10701836,0.9826732673267327
0.1022604,0.9837340876944838
0.09863562,0.9862093352192363
0.09460675,0.9858557284299858
0.0925075,0.9681753889674681
0.088243715,0.981966053748232
0.08847281,0.9773691654879774
0.08379451,0.9759547383309759
0.08009249,0.9840876944837341
0.08031473,0.963932107496464
