train_loss,val_accuracy,val_f1_macro
1.0286306,0.7727272727272727,0.2905982905982906
0.98141456,0.7727272727272727,0.2905982905982906
0.92670816,0.7727272727272727,0.2905982905982906
0.91321695,0.7727272727272727,0.2905982905982906
0.8639504,0.7727272727272727,0.2905982905982906
0.8244729,0.7386363636363636,0.4687208216619981
0.8005706,0.7613636363636364,0.29004329004329005
0.7355845,0.7159090909090909,0.4553029081330968
0.7142919,0.7840909090909091,0.4904183535762483
0.69956946,0.7727272727272727,0.2924731182795699
0.644039,0.7840909090909091,0.4677248677248677
0.60079783,0.7613636363636364,0.48248720975993703
0.5991769,0.7954545454545454,0.5835503875968993
0.57835215,0.7272727272727273,0.5206989247311828
0.5813085,0.7954545454545454,0.4754901960784314
0.56711304,0.7954545454545454,0.5761626287942078
0.54641515,0.8068181818181818,0.5949796973052787
0.5115116,0.8068181818181818,0.5540451799317047
0.47036508,0.8181818181818182,0.5844412582551269
0.49963415,0.8181818181818182,0.5844412582551269
