model,config,label_type,sampling_rate,K,T,roc_auc_macro,f1_macro,train_time_s
ResNet-18,A -- superdiagnostic / 100 Hz (baseline),superdiagnostic,100,5,1000,0.8822800924422214,0.5773312448880163,245.33349299430847
ResNet-18,C -- diagnostic (27-class) / 100 Hz,diagnostic,100,27,1000,0.7976528290960323,0.1731836175988993,249.20705914497375
SE-ResNet-50,A -- superdiagnostic / 100 Hz (baseline),superdiagnostic,100,5,1000,0.8756324212374924,0.6750944493978221,1258.272660970688
SE-ResNet-50,C -- diagnostic (27-class) / 100 Hz,diagnostic,100,27,1000,0.7179746910029848,0.1256204130133857,1236.1298429965973
Lambda-ResNet-18,A -- superdiagnostic / 100 Hz (baseline),superdiagnostic,100,5,1000,0.8710290676081464,0.6714607062381933,1764.986752986908
Lambda-ResNet-18,C -- diagnostic (27-class) / 100 Hz,diagnostic,100,27,1000,0.7194757776214,0.1264442354673686,1827.3542799949648
BiLSTM,A -- superdiagnostic / 100 Hz (baseline),superdiagnostic,100,5,1000,0.8385706468313311,0.6728857241225712,515.1750118732452
BiLSTM,C -- diagnostic (27-class) / 100 Hz,diagnostic,100,27,1000,0.8202809196685987,0.2270322400801511,621.5523679256439
ResNet-18,A -- superdiagnostic / 100 Hz (baseline),superdiagnostic,100,5,1000,0.7629390953402366,0.4981607064856851,33.149600982666016
ResNet-18,B -- superdiagnostic / 500 Hz,superdiagnostic,500,5,5000,0.8041790533977655,0.5295529580353364,114.70022583007812
ResNet-18,C -- diagnostic (27-class) / 100 Hz,diagnostic,100,27,1000,0.7437596414651408,0.0829973626692842,33.51596713066101
ResNet-18,D -- diagnostic (27-class) / 500 Hz,diagnostic,500,27,5000,,0.0567884119790278,112.71233773231506
SE-ResNet-50,A -- superdiagnostic / 100 Hz (baseline),superdiagnostic,100,5,1000,0.80224405272653,0.3787636008457019,149.36452102661133
SE-ResNet-50,B -- superdiagnostic / 500 Hz,superdiagnostic,500,5,5000,0.7553646129457944,0.3672557070980227,636.1527981758118
SE-ResNet-50,C -- diagnostic (27-class) / 100 Hz,diagnostic,100,27,1000,0.7118343780332,0.0924789838720781,144.19747519493103
SE-ResNet-50,D -- diagnostic (27-class) / 500 Hz,diagnostic,500,27,5000,,0.0573294504553054,634.5040018558502
Lambda-ResNet-18,A -- superdiagnostic / 100 Hz (baseline),superdiagnostic,100,5,1000,0.7955438206260178,0.3970672129500629,270.942773103714
Lambda-ResNet-18,B -- superdiagnostic / 500 Hz,superdiagnostic,500,5,5000,0.7723876093621177,0.5211916806450236,1253.451983213425
Lambda-ResNet-18,C -- diagnostic (27-class) / 100 Hz,diagnostic,100,27,1000,,0.050866630176975,258.62340211868286
Lambda-ResNet-18,D -- diagnostic (27-class) / 500 Hz,diagnostic,500,27,5000,,0.0817590591398973,1244.6589679718018
BiLSTM,A -- superdiagnostic / 100 Hz (baseline),superdiagnostic,100,5,1000,0.8135959253589039,0.6451106757639339,77.51535534858704
BiLSTM,B -- superdiagnostic / 500 Hz,superdiagnostic,500,5,5000,0.8128674499898032,0.5954051718075771,334.53321385383606
BiLSTM,C -- diagnostic (27-class) / 100 Hz,diagnostic,100,27,1000,0.7833174078893279,0.1443118620835513,78.60738611221313
BiLSTM,D -- diagnostic (27-class) / 500 Hz,diagnostic,500,27,5000,0.7464315651371636,0.1556990467987535,333.2661380767822
ResNet-18,B -- superdiagnostic / 500 Hz,superdiagnostic,500,5,5000,0.7910428256059993,0.5280327234424165,80.28677606582642
ResNet-18,D -- diagnostic (27-class) / 500 Hz,diagnostic,500,27,5000,,0.0446669233731228,74.48672533035278
BiLSTM,B -- superdiagnostic / 500 Hz,superdiagnostic,500,5,5000,0.793495708090092,0.6315772446563357,262.47332191467285
BiLSTM,D -- diagnostic (27-class) / 500 Hz,diagnostic,500,27,5000,,0.1162161975668708,261.98120498657227
